"year"	"age1"	"age2"	"age3"	"age4"	"age5"	"age6"
1971	14.361	14.361	1.417	0.514	0.403	0.722
1972	1.25	2.934	1.744	0.071	0.143	0.571
1973	3.105	4.142	10.036	1.413	0.366	0.5
1975	0	0	0	0	0	0
1976	0	3.25	0	0	0.125	0.375
1977	0.889	1.221	1.853	0.481	0.444	0
1978	3.258	5.803	1.506	2.616	0.995	0.793
1979	1.202	11.624	11.683	1.05	0.721	0.261
1980	6.602	18.179	11.627	3.406	0.473	0.487
1981	2.877	48.234	4.493	1.702	0.933	0.899
1982	6.244	6.067	9.119	1.073	0.8	0.773
1983	1.898	14.984	2.951	1.482	0.657	1.217
1984	11.553	7.792	4.849	1.156	1.166	0.847
1985	0.443	20.657	1.92	1.01	0.375	0.33
1986	9.491	4.577	13.124	4.327	1.818	0.736
1987	2.512	34.36	2.402	1.138	0.354	0.638
1988	0.429	5.571	6.682	0.675	0.617	0.596
1989	20.574	5.24	5.14	2.064	0.441	1.087
1990	3.379	21.367	1.366	0.337	0.393	0.343
1991	1.22	3.945	3.5	0.712	0.141	0.434
1992	6.528	4.46	1.46	1.259	0.125	0.134
1993	5.81	22.119	2.677	0.787	0.737	0.167
1994	6.289	5.932	2.536	0.886	0.514	0.484
1995	6.225	22.989	2.945	0.579	0.181	0.156
1996	1.706	8.902	11.435	0.758	0.366	0.131
1997	64.059	5.606	1.808	0.737	0.24	0.231
1998	3.137	18.823	1.979	0.411	0.278	0.153
1999	0.777	2.302	8.816	0.578	0.143	0.202
2000	7.46	2.305	0.59	1.061	0.125	0.173
2001	0.404	6.144	0.909	0.205	0.228	0.05
2002	3.24	2.819	3.482	0.376	0.093	0.075
2003	0.562	3.485	1.012	0.674	0.15	0.054
2004	3.603	1.482	1.098	0.135	0.179	0.058
2005	0.812	1.855	0.627	0.351	0.108	0.117
2006	7.694	0.819	0.88	0.281	0.078	0.019
2007	1.353	5.418	0.879	0.379	0.081	0.039
2008	0.984	1.284	2.69	0.273	0.193	0.033
2009	1.446	1.8	0.801	0.833	0.132	0.081
2010	6.72	3.469	1.183	0.154	0.289	0.115
2011	0.647	9.183	3.711	0.957	0.562	0.544
2012	1.363	2.97	7.394	2.001	0.418	0.114
2013	2.581	2.442	1.869	2.044	0.97	0.272
