"year"	"age1"	"age2"	"age3"	"age4"	"age5"	"age6"
1971	29.889	1.683	0.071	0.286	1.095	1.69
1972	2.916	8.006	3.211	0.517	0.483	1.5
1973	7.246	1.778	0.712	0.087	0.068	0.213
1975	7.758	0.915	1.179	0.114	1.17	0.653
1976	1.97	1.777	0.13	0.766	0.022	1.086
1977	11.333	0.281	0.296	0.089	0.387	0.013
1978	18.868	114.71	1.557	1.234	0.332	1.081
1979	24.574	21.649	11.111	0.979	1.375	0.611
1980	64.043	30.848	1.496	1.909	0.317	1.168
1981	27.791	32.116	2.079	1.722	2.123	0.807
1982	26.194	8.259	3.853	1.218	0.738	1.415
1983	11.392	29.059	2.102	1.228	0.687	1.398
1984	86.877	7.762	2.492	0.433	0.754	0.896
1985	1.538	21.564	1.483	0.81	0.367	1.162
1986	42.462	3.063	2.022	0.766	0.465	0.534
1987	31.337	39.441	0.738	1.257	0.385	1.038
1988	8.24	5.402	5.724	0.108	0.669	0.773
1989	11.798	4.835	2.745	1.826	0.268	0.975
1990	2.025	4.584	1.978	0.871	1.255	0.79
1991	11.758	2.856	2.096	0.824	0.377	1.003
1992	22.536	6.633	1.011	0.491	0.412	0.457
1993	7.221	7.448	1.022	0.499	0.3	0.324
1994	16.44	3.048	1.914	0.416	0.329	0.506
1995	8.297	6.951	1.884	0.771	0.234	0.444
1996	4.401	5.413	2.479	0.342	0.436	0.479
1997	37.635	2.631	1.24	0.767	0.315	0.337
1998	2.03	18.549	0.788	0.632	0.245	0.344
1999	3.264	1.448	4.208	0.391	0.236	0.551
2000	5.009	1.066	0.364	0.894	0.226	0.296
2001	3.112	2.878	0.906	0.216	0.244	0.231
2002	6.57	1.865	0.904	0.335	0.036	0.328
2003	0.707	3.65	0.797	0.466	0.185	0.137
2004	6.814	2.861	1.966	0.362	0.194	0.165
2005	2.522	1.271	0.426	0.762	0.036	0.126
2006	3.371	1.344	0.645	0.153	0.051	0.115
2007	4.951	2.676	0.72	0.284	0.086	0.092
2008	4.678	1.789	0.967	0.579	0.387	0.149
2009	0.644	4.976	1.864	0.445	0.202	0.178
2010	3.6	1.283	2.191	0.595	0.254	0.212
2011	1.14	3.043	0.396	0.581	0.326	0.188
2012	0.745	2.143	1.244	0.257	0.315	0.153
2013	0.95	1.12	0.659	0.492	0.261	0.127
