"year"	"age1"	"age2"	"age3"	"age4"	"age5"	"age6"
1975	12	4	0	0	0	0
1976	1.5	2.335	0.314	0.083	0.018	0
1977	4	7.492	0.508	0	0	0
1978	5	5.625	0.875	0	1.5	0.5
1979	13.951	3.67	4.344	0.917	0.353	0
1980	90.211	42.335	19.349	6.053	3	1.053
1981	8.483	69.397	15.647	2.967	0.863	0.429
1982	42.651	50.388	26.639	4.397	1.05	0.64
1983	40.683	28.861	4.728	2.949	0.736	0.522
1984	28.777	14.717	5.853	1.46	1.837	0.318
1985	9.149	63.985	13.77	2.23	0.611	0.492
1986	70.73	10.941	11.067	5.842	2.34	0.821
1987	7.457	112.293	5.998	4.91	0.704	0.667
1988	71.49	19.242	20.549	0.593	0.43	1
1989	61.149	16.241	8.615	6.213	0.464	0.51
1990	26.593	7.428	5.773	1.753	1.153	0.14
1991	13.696	18.185	22.099	4.082	3.156	1.54
1992	132.113	4.672	3.013	0.577	1.013	0
1993	117.668	11.11	5.024	1.62	2.5	0.115
1994	85.62	7.522	4.005	0.925	0.5	0.071
1995	98.814	43.187	7.792	2.178	0.493	0.286
1996	38.54	37.444	7.692	2.221	0.483	0.31
1997	83.296	38.042	9.675	1.502	0.333	0.267
1998	16.91	73.089	8.71	2.901	0.598	0.552
1999	43.751	7.939	6.891	1.443	0.46	0.621
2000	38.291	23.671	2.693	1.274	0.286	0.571
2001	37.44	23.404	4.765	0.856	0.393	0.286
2002	144.203	26.199	3.626	1.42	0.207	0.138
2003	5.253	28.905	2.186	0.828	0.138	0.207
2004	81.929	2.91	6.425	1.081	0.276	0.069
2005	29.635	24.489	7.117	1.729	0.182	0.303
2006	71.711	13.267	14.475	1.065	0.519	0.444
2007	31.724	48.35	3.995	1.103	0.414	0.345
2008	21.271	11.633	6.262	1.279	0.433	0.122
2009	24.638	11.68	3.004	1.023	0.138	0.345
2010	32.579	13.106	0.85	1.214	0.643	0.464
2011	6.649	10.253	1.649	0.414	0.069	0.276
2012	83.262	27.165	8.552	0.987	0.379	0.172
2013	27.721	68.332	9.198	2.198	1.922	0.557
