"year"	"age1"	"age2"	"age3"	"age4"	"age5"	"age6"
1971	2.571	9.643	2.786	2.571	0.952	1.619
1972	1.312	2.271	0.667	0	0	0.875
1974	0	0.5	2.25	2.441	0.226	0.084
1975	2.592	11.051	1.919	0.246	0.693	0.165
1976	0.493	3.577	0.867	0.464	0.636	0.815
1977	2.667	3.727	4.506	1.675	0.32	0.497
1978	4.672	17.85	1.808	1.697	1.121	0.365
1979	4.829	7.363	4.327	0.677	0.578	0.083
1980	19.187	16.976	7.921	4.154	1.293	0.963
1981	4.441	39.303	10.74	3.372	1.803	0.658
1982	16.332	17.885	14.242	3.064	0.839	0.585
1983	12.447	22.219	4.347	3.6	1.058	0.817
1984	11.447	18.594	6.982	1.512	1.318	0.571
1985	1.79	33.055	10.966	8.156	1.392	1.31
1986	19.688	5.501	11.144	4.388	1.99	1.04
1987	3.27	44.675	2.598	3.334	1.079	0.503
1988	16.247	12.913	10.703	1.117	0.929	1.281
1989	19.357	10.839	9.455	4.506	0.563	0.916
1990	9.345	20.872	3.67	2.007	1.243	0.572
1991	4.386	10.664	10.358	2.121	1.483	1.072
1992	38.492	6.776	2.185	1.392	0.509	0.687
1993	31.395	32.704	3.904	1.317	1.17	0.539
1994	25.586	5.111	4.538	1.176	0.581	0.395
1995	33.726	59.486	6.653	2.777	0.506	0.351
1996	11.214	21.629	7.06	1.546	0.966	0.361
1997	33.903	19.597	6.051	1.907	0.743	0.532
1998	5.508	59.817	5.277	2.497	1.101	0.677
1999	13.943	3.37	12.543	1.478	0.896	0.642
2000	13.35	16.851	1.78	4.24	0.879	1.121
2001	11.08	22.002	4.589	0.591	0.67	0.356
2002	41.06	10.998	9.099	1.352	0.299	0.212
2003	1.715	9.765	2.184	2.815	0.959	0.398
2004	24.265	2.409	2.894	0.984	1.293	0.574
2005	9.796	10.39	2.843	0.95	0.468	0.909
2006	20.965	4.876	4.9	0.611	0.464	0.792
2007	10.722	22.598	3.095	0.839	0.781	0.879
2008	8.224	6.971	6.252	1.432	0.872	0.404
2009	7.075	6.324	1.557	1.611	0.579	0.516
2010	10.432	9.71	2.471	1.036	0.869	0.315
2011	2.106	8.303	1.814	0.643	0.284	0.365
2012	25.239	10.415	7.099	1.821	0.693	0.367
2013	8.304	22.72	4.598	2.539	1.484	0.609
