"year"	"age1"	"age2"	"age3"	"age4"	"age5"	"age6"
1971	2.571	9.643	2.786	2.571	0.952	1.619
1972	1.312	2.271	0.667	0	0	0.875
1974	0	0.5	2.25	2.441	0.226	0.084
1975	1.92	11.555	2.057	0.264	0.743	0.177
1976	0.069	4.1	1.1	0.624	0.896	1.158
1977	2.606	3.555	4.688	1.751	0.334	0.52
1978	4.633	19.332	1.922	1.903	1.075	0.348
1979	0.852	8.974	4.319	0.573	0.676	0.12
1980	1.432	10.637	5.064	3.68	0.866	0.94
1981	0.538	10.246	6.001	3.763	2.71	0.88
1982	4.859	3.717	8.839	2.483	0.747	0.561
1983	1.44	19.63	4.199	3.853	1.183	0.932
1984	5.815	19.855	7.349	1.529	1.149	0.653
1985	0.146	26.144	10.34	9.48	1.567	1.493
1986	6.043	4.047	11.164	3.999	1.896	1.098
1987	1.716	19.58	1.336	2.749	1.219	0.442
1988	1.808	11.259	8.129	1.254	1.059	1.354
1989	4.473	8.915	9.755	3.898	0.598	1.06
1990	4.022	25.021	3.02	2.085	1.271	0.705
1991	1.419	8.268	6.616	1.496	0.95	0.922
1992	6.464	7.495	1.901	1.671	0.336	0.922
1993	1.083	40.292	3.511	1.21	0.702	0.688
1994	4.574	4.268	4.725	1.264	0.61	0.509
1995	9.099	65.653	6.222	3.003	0.511	0.376
1996	0.505	15.432	6.812	1.282	1.156	0.381
1997	14.659	12.41	4.64	2.065	0.903	0.635
1998	1.214	54.818	3.984	2.345	1.291	0.725
1999	1.938	1.529	14.819	1.492	1.071	0.651
2000	4.161	14.339	1.443	5.333	1.098	1.323
2001	1.369	21.486	4.524	0.493	0.772	0.382
2002	1.178	5.12	11.215	1.326	0.335	0.24
2003	0.347	2.364	2.183	3.584	1.277	0.472
2004	0.713	2.204	1.452	0.944	1.708	0.78
2005	0.576	3.837	0.856	0.589	0.601	1.191
2006	2.45	1.815	1.407	0.446	0.445	0.919
2007	1.632	11.451	2.706	0.724	0.941	1.11
2008	2.468	4.914	6.248	1.499	1.066	0.528
2009	0.545	4.332	1.019	1.83	0.743	0.579
2010	2.052	8.425	3.084	0.969	0.954	0.259
2011	0.224	7.496	1.882	0.738	0.374	0.403
2012	0.852	3.375	6.488	2.172	0.824	0.448
2013	0.425	4.21	2.731	2.677	1.306	0.63
