"year"	"age1"	"age2"	"age3"	"age4"	"age5"	"age6"
1991	7.395	1.474	0.582	0.084	0.03	0.038
1992	38.415	2.064	0.468	0.441	0.133	0.147
1993	17.43	6.159	0.526	0.144	0.111	0.045
1994	35.328	6.265	1.266	0.125	0.036	0.007
1995	19.011	14.548	1.078	0.244	0.018	0.025
1996	9.432	4.768	1.086	0.242	0.142	0.032
1997	53.309	2.156	0.54	0.109	0.038	0.029
1998	0.997	19.605	0.819	0.106	0.03	0.035
1999	4.577	0.652	3.118	0.068	0.03	0.013
2000	10.419	1.639	0.129	0.262	0.021	0.036
2001	2.679	3.009	0.344	0.036	0.013	0.013
2002	8.689	2.086	0.964	0.191	0.033	0.032
2003	1.371	2.245	0.29	0.133	0.05	0.058
2004	2.939	1.495	1.237	0.151	0.067	0.009
2005	1.897	1.084	0.217	0.075	0	0.013
2006	8.238	1.696	0.608	0.053	0.028	0.009
2007	5.225	4.046	0.247	0.082	0.039	0.007
2008	6.928	3.457	1.525	0.148	0.05	0.026
2009	4.054	2.552	0.427	0.26	0.041	0.021
2010	4.374	3.135	1.002	0.243	0.083	0.021
2011	2.346	7.151	3.601	1.589	0.993	0.651
2012	2.75	1.704	1.643	0.283	0.109	0.04
2013	4.269	1.842	1.021	1.258	0.341	0.129
2014	6.632	3.277	0.857	0.324	0.253	0.13
