"year"	"age1"	"age2"	"age3"	"age4"	"age5"	"age6"
1991	5.546	0.473	0.15	0.063	0.021	0.011
1992	46.93	1.638	0.43	0.461	0.182	0.197
1993	22.476	5.149	0.372	0.092	0.047	0.024
1994	40.287	6.468	0.9	0.12	0.017	0.008
1995	29.167	11.453	1.017	0.282	0.016	0
1996	11.688	4.519	0.888	0.18	0.06	0.045
1997	79.256	2.324	0.306	0.034	0.023	0
1998	1.144	12.642	0.645	0.116	0.053	0.038
1999	5.263	0.697	2.936	0.09	0.008	0.008
2000	11.037	1.507	0.156	0.257	0.03	0.044
2001	3.238	1.889	0.321	0.052	0	0
2002	11.686	2.814	0.748	0.045	0	0
2003	0.472	1.709	0.216	0.047	0.017	0.034
2004	1.583	0.51	0.274	0	0.017	0.017
2005	1.6	0.485	0.045	0.049	0	0.017
2006	4.609	1.327	0.583	0.075	0.017	0
2007	4.638	2.354	0.132	0.018	0.018	0
2008	3.258	3.317	0.729	0.073	0.032	0.016
2009	4.894	3.424	0.362	0.101	0.018	0.018
2010	0.845	0.821	0.682	0.155	0.019	0
2011	1.707	6.015	1.23	0.405	0.055	0
2012	1.795	1.294	0.667	0.055	0.019	0
2013	2.671	0.644	0.21	0.041	0	0
2014	5.338	1.085	0.124	0.037	0	0.019
