"year"	"age1"	"age2"	"age3"	"age4"	"age5"	"age6"
1991	5.744	2.94	2.264	0.288	0.083	0.206
1992	33.823	3.835	1.094	0.691	0.222	0.169
1993	5.472	14.015	1.66	0.279	0.255	0.117
1994	37.86	5.218	5.652	0.75	0.163	0.333
1995	9.824	32.935	3.26	2.351	0.23	0.24
1996	3.246	11.163	4.961	1.133	0.54	0.043
1997	23.314	7.791	3.986	2.105	0.358	0.286
1998	2.143	25.596	2.241	1.075	0.818	0.41
1999	14.841	1.312	6.217	0.775	0.266	0.119
2000	11.251	4.232	0.35	1.35	0.219	0.303
2001	3.232	13.939	2.364	0.445	0.556	0.659
2002	2.86	2.82	3.532	1.371	0.245	0.091
2003	1.706	2.032	1.023	1.418	1.388	1.691
2004	6.267	3.118	0.887	0.394	0.388	0.034
2005	1.678	3.795	1.404	0.569	0.178	0.459
2006	11.522	2.338	1.37	0.447	0	0.237
2007	2.407	13.418	1.767	0.7	0.53	0.333
2008	10.714	3.965	4.486	0.708	0.579	0.373
2009	4.897	5.203	1.137	1.683	0.388	0.598
2010	8.832	6.823	2.335	0.958	0.742	0.235
2011	3.406	10.935	4.152	1.58	0.451	0.679
2012	9.068	3.522	5.508	2.436	0.774	0.488
2013	6.329	4.782	2.234	3.059	0.729	0.688
2014	6.851	6.263	3.07	1.475	1.297	1.279
