"area","area2","year","age","cage"
"can","8ce",1991,0,7814
"ngal","8cw",1991,0,28361
"npor","9acn",1991,0,756866
"swpor","9acs",1991,0,236301
"sgal","9an",1991,0,517466
"spor","9asa",1991,0,26771
"can","8ce",1992,0,10660
"ngal","8cw",1992,0,24149
"npor","9acn",1992,0,184248
"swpor","9acs",1992,0,2187
"sgal","9an",1992,0,268401
"spor","9asa",1992,0,620
"can","8ce",1993,0,90
"ngal","8cw",1993,0,49335
"npor","9acn",1993,0,931
"swpor","9acs",1993,0,31396
"sgal","9an",1993,0,5560
"spor","9asa",1993,0,496
"can","8ce",1994,0,7
"ngal","8cw",1994,0,17151
"npor","9acn",1994,0,13986
"swpor","9acs",1994,0,77650
"sgal","9an",1994,0,12002
"can","8ce",1995,0,144
"ngal","8cw",1995,0,1854
"npor","9acn",1995,0,2644
"swpor","9acs",1995,0,22013
"sgal","9an",1995,0,3684
"can","8ce",1996,0,67
"ngal","8cw",1996,0,3849
"npor","9acn",1996,0,185985
"swpor","9acs",1996,0,74942
"sgal","9an",1996,0,11575
"spor","9asa",1996,0,483
"can","8ce",1997,0,14592
"ngal","8cw",1997,0,13302
"npor","9acn",1997,0,57693
"swpor","9acs",1997,0,20713
"sgal","9an",1997,0,80158
"spor","9asa",1997,0,722.6
"can","8ce",1998,0,694
"ngal","8cw",1998,0,2248
"npor","9acn",1998,0,256302.13
"swpor","9acs",1998,0,18705.54
"sgal","9an",1998,0,26281
"spor","9asa",1998,0,15737.9
"cad","9asc",1998,0,129146
"can","8ce",1999,0,4903
"ngal","8cw",1999,0,6469
"npor","9acn",1999,0,157111
"swpor","9acs",1999,0,11858
"sgal","9an",1999,0,10161
"spor","9asa",1999,0,690
"cad","9asc",1999,0,54824
"can","8ce",2000,0,1012
"ngal","8cw",2000,0,2256
"npor","9acn",2000,0,326664
"swpor","9acs",2000,0,67424
"sgal","9an",2000,0,25119
"spor","9asa",2000,0,24099
"cad","9asc",2000,0,43251
"can","8ce",2001,0,15001
"ngal","8cw",2001,0,4029
"npor","9acn",2001,0,72358
"swpor","9acs",2001,0,17881
"sgal","9an",2001,0,36365
"spor","9asa",2001,0,50848
"cad","9asc",2001,0,23491
"bisc","8ab",2002,0,3703.325637
"can","8ce",2002,0,181
"ngal","8cw",2002,0,3507
"npor","9acn",2002,0,79494
"swpor","9acs",2002,0,9945
"sgal","9an",2002,0,6527
"cad","9asc",2002,0,3619
"bisc","8ab",2003,0,4381.7098638
"can","8ce",2003,0,13546
"ngal","8cw",2003,0,10414
"npor","9acn",2003,0,94378
"swpor","9acs",2003,0,9580
"sgal","9an",2003,0,3090
"spor","9asa",2003,0,2398
"cad","9asc",2003,0,65006
"bisc","8ab",2004,0,22283.43653927
"can","8ce",2004,0,43748
"ngal","8cw",2004,0,21836
"npor","9acn",2004,0,434316.55
"swpor","9acs",2004,0,12396.67
"sgal","9an",2004,0,61920
"spor","9asa",2004,0,9416.54
"cad","9asc",2004,0,6276
"bisc","8ab",2005,0,4114.095601
"can","8ce",2005,0,188.8891802
"ngal","8cw",2005,0,7979.46
"npor","9acn",2005,0,83489.26296
"swpor","9acs",2005,0,4442.2927641
"sgal","9an",2005,0,44552.84
"spor","9asa",2005,0,1557.4987535
"cad","9asc",2005,0,27018.59
"bisc","8ab",2006,0,8895.8179753
"can","8ce",2006,0,1296.16
"ngal","8cw",2006,0,3683.99
"npor","9acn",2006,0,3747.443387
"swpor","9acs",2006,0,0
"sgal","9an",2006,0,5370.52
"spor","9asa",2006,0,591.8371377
"cad","9asc",2006,0,3612.63
"bisc","8ab",2007,0,24017.3956864
"can","8ce",2007,0,7712.73
"ngal","8cw",2007,0,4810.62
"npor","9acn",2007,0,72422.689724
"swpor","9acs",2007,0,2657.686279
"sgal","9an",2007,0,4137.78
"spor","9asa",2007,0,8850.7824086
"cad","9asc",2007,0,98771.95
"bisc","8ab",2008,0,3845.384077
"can","8ce",2008,0,387.62
"ngal","8cw",2008,0,29651.16
"npor","9acn",2008,0,162538.57112
"swpor","9acs",2008,0,5093.413491
"sgal","9an",2008,0,16115.85
"spor","9asa",2008,0,3812.368871
"cad","9asc",2008,0,80806.38
"bisc","8ab",2009,0,7312.119222
"can","8ce",2009,0,596.9
"ngal","8cw",2009,0,11427.33
"npor","9acn",2009,0,313522.38974
"swpor","9acs",2009,0,1268.3736333
"sgal","9an",2009,0,36981.33
"spor","9asa",2009,0,396.7612113
"cad","9asc",2009,0,14111.13
"bisc","8ab",2010,0,1884.9645598
"can","8ce",2010,0,120.35
"ngal","8cw",2010,0,1328.32
"npor","9acn",2010,0,137767.35365
"swpor","9acs",2010,0,1144.6027016
"sgal","9an",2010,0,35219.54
"spor","9asa",2010,0,15129.652461
"cad","9asc",2010,0,87601.59
"bisc","8ab",2011,0,3938.188340849
"can","8ce",2011,0,1797.76
"ngal","8cw",2011,0,11535.48
"npor","9acn",2011,0,132870.37965
"swpor","9acs",2011,0,1899.2792076
"sgal","9an",2011,0,19612.06
"spor","9asa",2011,0,495.11981111
"cad","9asc",2011,0,173325.04
"bisc","8ab",2012,0,4341.2423735
"can","8ce",2012,0,3405
"ngal","8cw",2012,0,1006.63
"npor","9acn",2012,0,81790.47
"swpor","9acs",2012,0,15077.07
"sgal","9an",2012,0,7094.28
"spor","9asa",2012,0,54.76
"cad","9asc",2012,0,111736.01
"bisc","8ab",2013,0,9821.472065927
"can","8ce",2013,0,3797.94
"ngal","8cw",2013,0,8922.03
"npor","9acn",2013,0,93286.25
"swpor","9acs",2013,0,5664.53
"sgal","9an",2013,0,15227.09
"spor","9asa",2013,0,4215.63
"cad","9asc",2013,0,149430.94
"bisc","8ab",2014,0,20494.0782302
"can","8ce",2014,0,4211
"ngal","8cw",2014,0,989.24
"npor","9acn",2014,0,31015.18
"swpor","9acs",2014,0,866.83
"sgal","9an",2014,0,954.86
"spor","9asa",2014,0,433.13
"cad","9asc",2014,0,25478.88
"can","8ce",1991,1,15905
"ngal","8cw",1991,1,33649
"npor","9acn",1991,1,138902
"swpor","9acs",1991,1,93029
"sgal","9an",1991,1,96634
"spor","9asa",1991,1,78249
"can","8ce",1992,1,13749
"ngal","8cw",1992,1,144563
"npor","9acn",1992,1,420182
"swpor","9acs",1992,1,170240
"sgal","9an",1992,1,162544
"spor","9asa",1992,1,73578
"can","8ce",1993,1,13294
"ngal","8cw",1993,1,45227
"npor","9acn",1993,1,221086
"swpor","9acs",1993,1,111659
"sgal","9an",1993,1,154916
"spor","9asa",1993,1,16039
"can","8ce",1994,1,920
"ngal","8cw",1994,1,2829
"npor","9acn",1994,1,6902
"swpor","9acs",1994,1,33979
"sgal","9an",1994,1,15227
"spor","9asa",1994,1,337
"can","8ce",1995,1,5942
"ngal","8cw",1995,1,4957
"npor","9acn",1995,1,96098
"swpor","9acs",1995,1,58115
"sgal","9an",1995,1,17690
"spor","9asa",1995,1,3346
"can","8ce",1996,1,4300
"ngal","8cw",1996,1,2103
"npor","9acn",1996,1,31835
"swpor","9acs",1996,1,33052
"sgal","9an",1996,1,12376
"spor","9asa",1996,1,13260
"can","8ce",1997,1,4538
"ngal","8cw",1997,1,9409
"npor","9acn",1997,1,245803
"swpor","9acs",1997,1,114042
"sgal","9an",1997,1,81468
"spor","9asa",1997,1,24487.8
"can","8ce",1998,1,23751
"ngal","8cw",1998,1,18077
"npor","9acn",1998,1,165347.83
"swpor","9acs",1998,1,68657.33
"sgal","9an",1998,1,26232
"spor","9asa",1998,1,15148.97
"cad","9asc",1998,1,42992
"can","8ce",1999,1,31711
"ngal","8cw",1999,1,10078
"npor","9acn",1999,1,218570
"swpor","9acs",1999,1,78451
"sgal","9an",1999,1,20906
"spor","9asa",1999,1,15428
"cad","9asc",1999,1,100082
"can","8ce",2000,1,6550
"ngal","8cw",2000,1,4524
"npor","9acn",2000,1,231879
"swpor","9acs",2000,1,64974
"sgal","9an",2000,1,15171
"spor","9asa",2000,1,10713
"cad","9asc",2000,1,21011
"can","8ce",2001,1,33740
"ngal","8cw",2001,1,84225
"npor","9acn",2001,1,654695
"swpor","9acs",2001,1,165462
"sgal","9an",2001,1,143038
"spor","9asa",2001,1,42527
"cad","9asc",2001,1,48615
"bisc","8ab",2002,1,162937.87991022
"can","8ce",2002,1,14278
"ngal","8cw",2002,1,14991
"npor","9acn",2002,1,179146
"swpor","9acs",2002,1,92880
"sgal","9an",2002,1,16837
"spor","9asa",2002,1,95813
"cad","9asc",2002,1,177021
"bisc","8ab",2003,1,89475.427336324
"can","8ce",2003,1,13882
"ngal","8cw",2003,1,2385
"npor","9acn",2003,1,194247
"swpor","9acs",2003,1,64140
"sgal","9an",2003,1,6248
"spor","9asa",2003,1,5324
"cad","9asc",2003,1,32466
"bisc","8ab",2004,1,88305.7407263
"can","8ce",2004,1,7363
"ngal","8cw",2004,1,18092
"npor","9acn",2004,1,42368.2
"swpor","9acs",2004,1,31598.99
"sgal","9an",2004,1,2731
"spor","9asa",2004,1,12427.1
"cad","9asc",2004,1,65941
"bisc","8ab",2005,1,91371.144556498
"can","8ce",2005,1,22823.484421
"ngal","8cw",2005,1,64191.57
"npor","9acn",2005,1,536204.46319
"swpor","9acs",2005,1,124240.64795
"sgal","9an",2005,1,137409.21
"spor","9asa",2005,1,7747.9361126
"cad","9asc",2005,1,112900.11
"bisc","8ab",2006,1,35588.4365792
"can","8ce",2006,1,2288.65
"ngal","8cw",2006,1,5401.72
"npor","9acn",2006,1,115502.07437
"swpor","9acs",2006,1,11186.674559
"sgal","9an",2006,1,31304.85
"spor","9asa",2006,1,14523.4594341
"cad","9asc",2006,1,69575.11
"bisc","8ab",2007,1,66813.23881172
"can","8ce",2007,1,4940.27
"ngal","8cw",2007,1,5642.01
"npor","9acn",2007,1,20371.616983
"swpor","9acs",2007,1,5569.2322065
"sgal","9an",2007,1,19633.68
"spor","9asa",2007,1,3519.73322827
"cad","9asc",2007,1,22407.92
"bisc","8ab",2008,1,162407.9926257
"can","8ce",2008,1,20559.23
"ngal","8cw",2008,1,3429.73
"npor","9acn",2008,1,77857.541108
"swpor","9acs",2008,1,20678.772727
"sgal","9an",2008,1,22893.02
"spor","9asa",2008,1,5353.9597754
"cad","9asc",2008,1,68433.14
"bisc","8ab",2009,1,100934.27447776
"can","8ce",2009,1,17335.35
"ngal","8cw",2009,1,11604.52
"npor","9acn",2009,1,223596.77166
"swpor","9acs",2009,1,13176.5929851
"sgal","9an",2009,1,16204.07
"spor","9asa",2009,1,6149.924069
"cad","9asc",2009,1,65771.37
"bisc","8ab",2010,1,37461.92457977
"can","8ce",2010,1,1066.78
"ngal","8cw",2010,1,2111.37
"npor","9acn",2010,1,381019.36108
"swpor","9acs",2010,1,25216.3279093
"sgal","9an",2010,1,70989.22
"spor","9asa",2010,1,11925.4203549
"cad","9asc",2010,1,24215.84
"bisc","8ab",2011,1,42575.021782315
"can","8ce",2011,1,5052.41
"ngal","8cw",2011,1,14411.73
"npor","9acn",2011,1,210046.66824
"swpor","9acs",2011,1,24523.0479498
"sgal","9an",2011,1,23007.46
"spor","9asa",2011,1,9753.4257472
"cad","9asc",2011,1,165464.33
"bisc","8ab",2012,1,168344.516173
"can","8ce",2012,1,11117.64
"ngal","8cw",2012,1,4157.68
"npor","9acn",2012,1,93211.84
"swpor","9acs",2012,1,12025.63
"sgal","9an",2012,1,22652.35
"spor","9asa",2012,1,1653.49
"cad","9asc",2012,1,49065.68
"bisc","8ab",2013,1,256384.27162138
"can","8ce",2013,1,13407.69
"ngal","8cw",2013,1,5041.83
"npor","9acn",2013,1,63175.2
"swpor","9acs",2013,1,16142.08
"sgal","9an",2013,1,11186.9
"spor","9asa",2013,1,21827.41
"cad","9asc",2013,1,102153.3
"bisc","8ab",2014,1,243107.54084775
"can","8ce",2014,1,7009.22
"ngal","8cw",2014,1,5027.65
"npor","9acn",2014,1,56281.19
"swpor","9acs",2014,1,15887.17
"sgal","9an",2014,1,20508.77
"spor","9asa",2014,1,6629.7
"cad","9asc",2014,1,77748.86
"can","8ce",1991,2,13146
"ngal","8cw",1991,2,14234
"npor","9acn",1991,2,111615
"swpor","9acs",1991,2,126153
"sgal","9an",1991,2,12866
"spor","9asa",1991,2,126067
"can","8ce",1992,2,6972
"ngal","8cw",1992,2,24412
"npor","9acn",1992,2,130616
"swpor","9acs",1992,2,180302
"sgal","9an",1992,2,19156
"spor","9asa",1992,2,61909
"can","8ce",1993,2,18097
"ngal","8cw",1993,2,68443
"npor","9acn",1993,2,458853
