year;quarter;country;area;age;n;b
1996;1;portugal;npor;1;600011.9778;13472
1996;1;portugal;npor;2;399053.5794;12394
1996;1;portugal;npor;3;28589.94286;1181
1996;1;portugal;npor;4;9147.5;471
1996;1;portugal;swpor;1;646714;7423
1996;1;portugal;swpor;2;224381;8557
1996;1;portugal;swpor;3;399989;20104
1996;1;portugal;swpor;4;1185810;65601
1996;1;portugal;swpor;5;256687;15887
1996;1;portugal;swpor;6;4646;322
1996;1;portugal;spor;1;47921;1324
1996;1;portugal;spor;2;530280;22610
1996;1;portugal;spor;3;504982;24826
1996;1;portugal;spor;4;1018007;53969
1996;1;portugal;spor;5;47067;2952
1996;1;portugal;cad;1;330338;8960
1996;1;portugal;cad;2;928482;36705
1996;1;portugal;cad;3;1480967;66973
1996;1;portugal;cad;4;693043;36018
1996;1;portugal;cad;5;82722;5018
1996;1;portugal;cad;6;7318;505
1996;1;spain;ecan;1;863;
1996;1;spain;ecan;2;6627;
1996;1;spain;ecan;3;19368;
1996;1;spain;ecan;4;75341;
1996;1;spain;ecan;5;48177;
1996;1;spain;ecan;6;3301;
1996;1;spain;ecan;7;1689;
1996;1;spain;ecan;8;769;
1996;1;spain;wcan;1;4382;
1996;1;spain;wcan;2;17394;
1996;1;spain;wcan;3;40543;
1996;1;spain;wcan;4;167608;
1996;1;spain;wcan;5;119236;
1996;1;spain;wcan;6;9362;
1996;1;spain;wcan;7;3322;
1996;1;spain;wcan;8;1733;
1996;1;spain;ngal;1;57;
1996;1;spain;ngal;2;831;
1996;1;spain;ngal;3;1630;
1996;1;spain;ngal;4;7399;
1996;1;spain;ngal;5;4873;
1996;1;spain;ngal;6;330;
1996;1;spain;ngal;7;196;
1996;1;spain;ngal;8;64;
1996;1;spain;sgal;1;5337;
1996;1;spain;sgal;2;29397;
1996;1;spain;sgal;3;29006;
1996;1;spain;sgal;4;100476;
1996;1;spain;sgal;5;41555;
1996;1;spain;sgal;6;1749;
1996;1;spain;sgal;7;2018;
1996;1;spain;sgal;8;246;
1997;1;portugal;npor;1;3127264;67384
1997;1;portugal;npor;2;274277;11673
1997;1;portugal;npor;3;816283;40949
1997;1;portugal;npor;4;405372;23906
1997;1;portugal;npor;5;136509;9385
1997;1;portugal;swpor;1;1217173;32676
1997;1;portugal;swpor;2;1130561;34571
1997;1;portugal;swpor;3;268308;13162
1997;1;portugal;swpor;4;478376;28604
1997;1;portugal;swpor;5;543864;35643
1997;1;portugal;swpor;6;96469;7181
1997;1;portugal;spor;1;37415;828
1997;1;portugal;spor;2;478738;15817
1997;1;portugal;spor;3;258990;12066
1997;1;portugal;spor;4;349308;19327
1997;1;portugal;spor;5;673662;40591
