Mean w. at age in catch (kg); Cod NW                         
1       3                                                                       
2003    2013                                                                   
1       7                                                                       
1
0.275	0.752	1.533	3.191	5.113	7.27	9.74
0.341	0.671	1.713	3.096	5.172	7.426	9.50
0.348	0.895	1.945	3.695	5.055	7.555	10.21
0.217	0.771	1.972	3.61	5.59	6.848	9.27
0.276	0.863	2.187	4.064	5.607	8.467	9.68
0.33	0.904	1.971	3.834	5.692	7.228	10.03
0.39	1.029	2.335	3.972	6.041	7.538	9.59
0.293	1.028	2.453	4.199	6.049	7.692	9.72
0.335	0.835	2.424	4.349	6.245	7.71	9.87
0.308	0.884	2.281	4.19	6.39	8.155	9.29
0.388	0.921	2.26	4.091	5.975	8.254	9.46






           
